Rank,Release,Gross
323,The Climbers,487157.00
324,The Russian Five,485049.00
325,The Great Alaskan Race,484068.00
326,Lawrence of Arabia,482281.00
,2019 Re-release,
327,CatVideoFest,470923.00
328,Panipat,461863.00
329,Christmas Jars,459462.00
330,Gorillaz: Reject False Icons,453687.00
331,Exit,445225.00
332,Cruel Intentions,445218.00
,2019 Re-release,
333,Teen Spirit,441366.00
334,At Eternity's Gate,441270.00
335,Merci pour tout,437044.00
336,Les Mis�rables: The Staged Concert,436047.00
337,De De Pyaar De,425934.00
338,Hail Satan?,424284.00
339,Ben-Hur,422622.00
,2019 Re-release,
340,Killing Sarai,422331.00
341,Fate/stay night [Heaven's Feel] II. lost butterfly,420595.00
342,Ash Is Purest White,420589.00
343,The Cold Blue,420177.00
344,The Reliant,408747.00
345,The Invisibles,407373.00
346,Monos,406473.00
347,Meet Me in St. Louis,403521.00
,75th Anniversary,
348,"Hello, Dolly!",400881.00
349,The Nightingale,400209.00
350,Mia and the White Lion,399471.00
351,The Man Who Killed Don Quixote,391963.00
352,The Wedding Guest,386166.00
353,The Secret World of Arrietty,384289.00
,2019 Re-release,
354,What We Left Behind: Star Trek DS9,382457.00
355,The Cure: Anniversary 1978-2018 Live in Hyde Park,378405.00
356,The Hummingbird Project,371784.00
357,Ghostbusters,369612.00
,2019 Re-release,
358,Matthias & Maxime,369363.00
359,The Shawshank Redemption,358507.00
,2019 Re-release,
360,The Tomorrow Man,354103.00
361,Star Trek: The Motion Picture,346243.00
,2019 Re-release,
362,Photograph,344534.00
363,Diane,336166.00
364,Millennium Actress,335609.00
,2019 Re-release,
365,A Silent Voice: The Movie,333984.00
,2019 Re-release,
366,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,328979.00
367,P Storm,326711.00
368,National Theatre Live: Fleabag,326283.00
369,Sword of Trust,322421.00
370,Lucy in the Sky,319976.00
371,You Are Here: A Come From Away Story,318885.00
372,Josh Groban Bridges Live from Madison Square Garden,315173.00
373,Bolshoi Ballet: The Sleeping Beauty,311368.00
