Rank,Company Name,Employees,Revenues,Profits,Assets,MarketValue 
159,Bank of New York Mellon,48400.00,20822.00,4441.00,381508.00,29808.50
160,Hartford Financial Services Group,19500.00,20740.00,2085.00,70817.00,12624.80
161,Danaher,60000.00,20521.20,3008.20,62081.60,96457.30
162,Whirlpool,77000.00,20419.00,1184.00,18881.00,5377.80
163,AECOM,86000.00,20173.30,-261.10,14461.60,4734.90
164,Netflix,8600.00,20156.40,1866.90,33975.70,164771.90
165,Kohl's,79500.00,19974.00,691.00,14555.00,2265.00
166,Lear,164100.00,19810.30,753.60,12680.70,4913.40
167,Altria Group,7300.00,19796.00,-1293.00,49271.00,71863.00
168,Performance Food Group,18000.00,19743.50,166.80,4653.50,2896.70
169,Avnet,15500.00,19518.60,176.30,8564.60,2505.90
170,Synchrony Financial,16500.00,19461.00,3747.00,104826.00,9870.80
171,Genuine Parts,55000.00,19392.30,621.10,14645.60,9788.50
172,NextEra Energy,14800.00,19204.00,3769.00,117691.00,117655.00
173,CarMax,25946.00,19146.00,842.40,18717.90,8795.00
174,Tenet Healthcare,101104.00,18479.00,-232.00,23351.00,1501.80
175,Kimberly-Clark,40000.00,18450.00,2157.00,15283.00,43662.50
176,Emerson Electric,88000.00,18372.00,2306.00,20497.00,29154.20
177,WestRock,51100.00,18289.00,862.90,30156.70,7304.00
178,CDW,9900.00,18032.40,736.80,7999.40,13316.30
179,Jones Lang LaSalle,93400.00,17983.20,535.30,13672.60,5207.10
180,Sherwin-Williams,61111.00,17900.80,1541.30,20496.20,42185.80
181,Fluor,53349.00,17817.20,-1305.00,7883.70,968.60
182,PayPal Holdings,23200.00,17772.00,2459.00,51333.00,112298.80
183,D.R. Horton,8916.00,17592.90,1618.50,15606.60,12456.40
184,HollyFrontier,4074.00,17486.60,772.40,12164.80,3967.80
185,Tenneco,78000.00,17450.00,-334.00,13226.00,292.30
186,EOG Resources,2900.00,17380.00,2734.90,37124.60,20907.40
187,Becton Dickinson,70093.00,17290.00,1233.00,51765.00,62307.50
188,Lincoln National,11357.00,17258.00,886.00,334761.00,5142.20
189,PG&E,23000.00,17129.00,-7656.00,85196.00,4762.80
190,salesforce.com,49000.00,17098.00,126.00,55126.00,128862.10
191,Mastercard,18600.00,16883.00,8118.00,29236.00,242794.10
192,General Mills,40000.00,16865.20,1752.70,30111.20,31986.00
193,Molina Healthcare,10000.00,16829.00,737.00,6787.00,8500.80
194,Cognizant Technology Solutions,292500.00,16783.00,1842.00,16204.00,25495.20
195,Marsh & McLennan,76000.00,16652.00,1742.00,31357.00,43567.00
196,XPO Logistics,100000.00,16648.00,419.00,14128.00,4502.40
197,Dominion Energy,19100.00,16572.00,1358.00,103823.00,60514.90
198,Western Digital,61800.00,16569.00,-754.00,26370.00,12441.50
199,Gap,129000.00,16383.00,351.00,13679.00,2614.00
